"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify creating author with only one populated field behaves as expected","283","checkCreateAuthorWithSingleField(String) Create author with single field: lastName","","Tue Oct 07 20:06:26 UTC 2025","passed","Tue Oct 07 20:06:26 UTC 2025","","com.fakeRestApi.tests.author.CreateAuthorsTests","com.fakeRestApi.tests.author.CreateAuthorsTests","checkCreateAuthorWithSingleField"
"Verify that creating an author with null fields returns 400 Bad Request","301","checkCreateAuthorWithNullFieldsShouldReturnBadRequest()","","Tue Oct 07 20:06:24 UTC 2025","failed","Tue Oct 07 20:06:25 UTC 2025","","com.fakeRestApi.tests.author.CreateAuthorsTests","com.fakeRestApi.tests.author.CreateAuthorsTests","checkCreateAuthorWithNullFieldsShouldReturnBadRequest"
"Verify GET /Authors returns non-empty list and all fields are valid","864","checkGetAllAuthorsShouldReturnValidList()","","Tue Oct 07 20:06:36 UTC 2025","passed","Tue Oct 07 20:06:37 UTC 2025","","com.fakeRestApi.tests.author.GetAuthorsTests","com.fakeRestApi.tests.author.GetAuthorsTests","checkGetAllAuthorsShouldReturnValidList"
"Verify that invalid book IDs return 400 Bad Request","275","checkDeleteInvalidBookIdShouldReturnBadRequest(String) DELETE /Books/ю should return 400 Bad Request","","Tue Oct 07 20:06:52 UTC 2025","passed","Tue Oct 07 20:06:52 UTC 2025","","com.fakeRestApi.tests.book.DeleteBooksTests","com.fakeRestApi.tests.book.DeleteBooksTests","checkDeleteInvalidBookIdShouldReturnBadRequest"
"PUT /Authors/{id} should return 404 when author does not exist","270","checkShouldReturn404WhenUpdatingNonExistingAuthor()","","Tue Oct 07 20:06:38 UTC 2025","failed","Tue Oct 07 20:06:39 UTC 2025","","com.fakeRestApi.tests.author.UpdateAuthorsTests","com.fakeRestApi.tests.author.UpdateAuthorsTests","checkShouldReturn404WhenUpdatingNonExistingAuthor"
"Verify GET /Authors/{id} returns 400 Bad Request for malformed IDs","337","checkGetAuthorWithInvalidIdShouldReturnBadRequest(String) GET /Authors/! → should return 400 Bad Request","","Tue Oct 07 20:06:35 UTC 2025","passed","Tue Oct 07 20:06:35 UTC 2025","","com.fakeRestApi.tests.author.GetAuthorsTests","com.fakeRestApi.tests.author.GetAuthorsTests","checkGetAuthorWithInvalidIdShouldReturnBadRequest"
"Verify GET /Books/{id} returns 404 Not Found for nonexistent or invalid numeric IDs","293","checkGetBookWithNonexistentIdShouldReturnNotFound(String) GET /Books/999999999 should return 404 Not Found","","Tue Oct 07 20:06:58 UTC 2025","passed","Tue Oct 07 20:06:58 UTC 2025","","com.fakeRestApi.tests.book.GetBooksApiTests","com.fakeRestApi.tests.book.GetBooksApiTests","checkGetBookWithNonexistentIdShouldReturnNotFound"
"Verify DELETE /Authors without specifying ID returns 405 Method Not Allowed","273","checkDeleteWithoutIdShouldReturn405()","","Tue Oct 07 20:06:31 UTC 2025","passed","Tue Oct 07 20:06:32 UTC 2025","","com.fakeRestApi.tests.author.DeleteAuthorsTests","com.fakeRestApi.tests.author.DeleteAuthorsTests","checkDeleteWithoutIdShouldReturn405"
"Verify updating a book with empty strings returns 400 Bad Request","536","checkUpdateBookWithEmptyFieldsShouldReturn400()","","Tue Oct 07 20:07:02 UTC 2025","passed","Tue Oct 07 20:07:03 UTC 2025","","com.fakeRestApi.tests.book.UpdateBooksTests","com.fakeRestApi.tests.book.UpdateBooksTests","checkUpdateBookWithEmptyFieldsShouldReturn400"
"Verify that sending POST /Books without a request body returns 400 Bad Request","301","checkCreateBookWithoutBodyShouldReturnBadRequest()","","Tue Oct 07 20:06:50 UTC 2025","passed","Tue Oct 07 20:06:51 UTC 2025","","com.fakeRestApi.tests.book.CreateBooksTests","com.fakeRestApi.tests.book.CreateBooksTests","checkCreateBookWithoutBodyShouldReturnBadRequest"
"Verify that deleting an existing author returns 200 OK and subsequent GET returns 404 Not Found","852","checkDeleteExistingAuthorShouldReturnOkAndAuthorShouldBeGone()","","Tue Oct 07 20:06:28 UTC 2025","failed","Tue Oct 07 20:06:29 UTC 2025","","com.fakeRestApi.tests.author.DeleteAuthorsTests","com.fakeRestApi.tests.author.DeleteAuthorsTests","checkDeleteExistingAuthorShouldReturnOkAndAuthorShouldBeGone"
"Verify author IDs are in sequential order","6","checkAuthorsAreSortedByIdAscending()","","Tue Oct 07 20:06:38 UTC 2025","passed","Tue Oct 07 20:06:38 UTC 2025","","com.fakeRestApi.tests.author.GetAuthorsTests","com.fakeRestApi.tests.author.GetAuthorsTests","checkAuthorsAreSortedByIdAscending"
"Verify that creating a book with identical data twice is allowed and both return the same book data","548","checkUserCanCreateBookWithSameDataTwice(SoftAssertions)","","Tue Oct 07 20:06:49 UTC 2025","passed","Tue Oct 07 20:06:50 UTC 2025","","com.fakeRestApi.tests.book.CreateBooksTests","com.fakeRestApi.tests.book.CreateBooksTests","checkUserCanCreateBookWithSameDataTwice"
"Verify GET /Authors/authors/books/{idBook} returns 404 for invalid or missing books","301","checkGetAuthorsByNonexistentBookIdShouldReturnBadRequest(String) GET /Authors/authors/books/-1 → should return 404 for nonexistent book ID","","Tue Oct 07 20:06:33 UTC 2025","failed","Tue Oct 07 20:06:33 UTC 2025","","com.fakeRestApi.tests.author.GetAuthorsTests","com.fakeRestApi.tests.author.GetAuthorsTests","checkGetAuthorsByNonexistentBookIdShouldReturnBadRequest"
